presentedcolor,selection,Accuracy,RT,inversion,subid,age,sex,date
magenta,magenta,1,1.0032790999975987,No,nik,44,Male,2024-11-02_15:42
skyblue,skyblue,1,1.2355014000058873,No,nik,44,Male,2024-11-02_15:42
magenta,magenta,1,1.1789397999964422,No,nik,44,Male,2024-11-02_15:42
white,white,1,1.3860872000077507,No,nik,44,Male,2024-11-02_15:42
cyan,cyan,1,1.2353987999958917,No,nik,44,Male,2024-11-02_15:42
blue,blue,1,0.9075244999985443,No,nik,44,Male,2024-11-02_15:42
white,white,1,1.2013677000068128,No,nik,44,Male,2024-11-02_15:42
green,green,1,1.043498400002136,No,nik,44,Male,2024-11-02_15:42
green,green,1,0.7776217999926303,No,nik,44,Male,2024-11-02_15:42
orange,orange,1,2.6823704999987967,No,nik,44,Male,2024-11-02_15:42
red,red,1,1.8436006999982055,No,nik,44,Male,2024-11-02_15:42
orange,brown,0,0.9949635000084527,No,nik,44,Male,2024-11-02_15:42
blue,blue,1,1.1152900000015507,No,nik,44,Male,2024-11-02_15:42
magenta,magenta,1,1.0661370000016177,No,nik,44,Male,2024-11-02_15:42
lightblue,lightblue,1,1.674532699995325,No,nik,44,Male,2024-11-02_15:42
yellow,yellow,1,1.1754708999942522,No,nik,44,Male,2024-11-02_15:42
black,black,1,2.9157629999972414,No,nik,44,Male,2024-11-02_15:42
red,red,1,1.8915114999981597,No,nik,44,Male,2024-11-02_15:42
